ID,Tên món ăn menu,Tên món ăn đề xuất,Nguyên vật liệu chính 1,Nguyên vật liệu phụ 1,Nguyên vật liệu phụ 2,Nguyên vật liệu phụ 3,Nguyên vật liệu phụ 4,Nguyên vật liệu phụ 5,Nguyên vật liệu phụ 6,Nguyên vật liệu phụ 7,Nguyên vật liệu phụ 8,Ghi chú,Is Test,Parent items,Ghi chú (1),Is Test (1),Parent items (1),Parent items (1) (1),Parent items (1) (1) (1),Parent items (1) (1) (1) (1),Trường 7,Trường 8,Trường 9,Trường 10,Trường 11,Trường 12,Trường 13,Trường 14,Trường 15,Trường 16,Trường 17,Trường 18
12463,Nui nấu thịt,Nuii nấu thịt nạc vai,Nui 10kg/bao,Thịt heo nạc vai,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12464,Nui nấu thịt,Nui nấu thịt bắp giò,Nui 10kg/bao,Thịt xay,Bắp giò rút xương,,,,,,,,,,,,,,,,,,,,,,,,,,,
12465,Nui nấu thịt,Nui nấu thịt xay,Nui 10kg/bao,Thịt heo nạc vai,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,
12466,Nui nấu thịt,Nui nấu thịt,Nui 10kg/bao,Thịt heo vai tươi,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,
12467,Nấm bào ngư chiên nước mắm,Nấm bào ngư chiên nước mắm,Nấm bào ngư xám,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12468,Mực xào chua ngọt,Mực xào chua ngọt cà chua,Cà chua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12469,Mực xào chua ngọt,Mực xào chua ngọt dưa leo,Mực lá tươi,Dưa leo,Cà chua,Cần tây,,,,,,,,,,,,,,,,,,,,,,,,,,
12470,Mực xào chua ngọt,Mực xào chua ngọt,Mực lá tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12471,Thịt kho măng,Thịt kho măng,Thịt heo vai tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12472,Thịt kho măng,Thịt kho măng tươi,Thịt heo vai tươi,Măng tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12473,Thịt rim chả lụa,Thịt rim chả lụa,Thịt heo vai tươi,Chả lụa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12474,Thịt rim chả lụa,Thịt rim chả lụa cotlet,Thịt heo vai tươi,Cotlet chặt (1kg/13 miếng),,,,,,,,,,,,,,,,,,,,,,,,,,,,
12475,Sườn non kho kim chi,Sườn non kho kim chi,Sườn non tươi,Kim chi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12476,Thịt xào ruốc sả,Thịt xào ruốc sả xay,Thịt heo vai tươi,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12477,Thịt xào ruốc sả,Thịt xào ruốc sả mắm ruốc,Thịt heo vai tươi,Mắm ruốc hũ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12478,Tim cật xào rau củ,Tim cật xào rau củ,Tim heo,Cật heo,Cà rốt,,,,,,,,,,,,,,,,,,,,,,,,,,,
12479,Thịt chiên sốt tỏi,Thịt chiên sốt tỏi,Thịt heo vai tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12480,Thịt chiên sốt tỏi,Thịt chiên sốt tỏi cà chua,Cà chua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12481,Nui bò kho,Nui bò kho,Nui 10kg/bao,Bò nạm,Cà rốt,,,,,,,,,,,,,,,,,,,,,,,,,,,
12482,Sườn non chay ram sả,Sườn non chay ram sả,Sườn non chay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12483,Thịt rim xúc xích,Thịt rim xúc xích,Thịt heo vai tươi,Xúc xích cp - 175g (20 gói/thùng-100 cái),,,,,,,,,,,,,,,,,,,,,,,,,,,,
12484,Tôm rim tóp mỡ,Tôm rim tóp mỡ size 50,Tôm thẻ size 50 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12485,Tôm rim tóp mỡ,Tôm rim tóp mỡ size 80,Tôm thẻ size 80 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12486,Tôm rim tóp mỡ,Tôm rim tóp mỡ size 100,Tôm thẻ size 100 con,Mỡ heo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12487,Mực xào sả ớt,Mực xào sả ớt,Mực lá tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12488,Mực xào sả ớt,Mực xào sả ớt hành tây,Mực lá tươi,Hành tây,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12489,Phở bò hà nội,Phở bò hà nội,Phở,Bò tái,Bò viên,Xương ống bò,,,,,,,,,,,,,,,,,,,,,,,,,,
12490,Phở gà hà nội,Phở gà hà nội đùi tỏi,Phở,Đùi tỏi tươi size 6->6.5 cái,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12491,Phở gà hà nội,Phở gà hà nội phi lê,Phở,File không da tươi,Đùi góc tư tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,
12492,Phở gà hà nội,Phở gà hà nội đùi,Phở,Đùi góc tư tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12493,Rau luộc + kho quẹt,Rau luộc + kho quẹt đậu bắp,Đậu bắp,Su su,Khổ qua,Bắp cải trắng,,,,,,,,,,,,,,,,,,,,,,,,,,
12494,Rau luộc + kho quẹt,Rau luộc + kho quẹt đậu bắp khổ qua,Đậu bắp,Khổ qua,Su su,Bắp cải trắng,,,,,,,,,,,,,,,,,,,,,,,,,,
12495,Sườn lagu + bánh mì,Sườn lagu + bánh mì sườn non,Bánh mì giòn,Sườn non tươi,Khoai tây,Dừa ép,,,,,,,,,,,,,,,,,,,,,,,,,,
12496,Sườn lagu + bánh mì,Sườn lagu + bánh mì sườn non khoai tây,Bánh mì giòn,Sườn non tươi,Khoai tây,Cà rốt,,,,,,,,,,,,,,,,,,,,,,,,,,
12497,Sườn Non Kho Củ Cải,Sườn Non Kho Củ Cải,Sườn non tươi,Củ cải trắng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12498,Trứng chiên Ngũ sắc,Trứng chiên Ngũ sắc,Trứng gà 300 quả/cây,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499,Vịt Kho Sả,Vịt Kho Sả,Vịt nguyên con không đầu không chân,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12500,Đậu hũ trắng sốt cà chua,Đậu hũ sốt cà chua,Đậu hũ trắng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12501,Đậu hũ trắng sốt cà chua,Đậu hũ sốt cà chua tươi,Đậu hũ trắng,Cà chua,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12502,Mắm thái chay,Mắm thái chay,Mắm thái chay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12503,Đậu hũ chiên sả,Đậu hũ chiên sả,Đậu hũ chiên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504,Đậu hũ kho thơm,Đậu hũ kho thơm,Đậu hũ chiên,Thơm gọt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12505,Đậu hũ kho tiêu,Đậu hũ kho tiêu,Đậu hũ chiên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12506,Đậu hũ muối ớt,Đậu hũ muối ớt,Đậu hũ chiên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12507,Đậu hũ kho tương hộp,Đậu hũ kho tương hộp,Đậu hũ chiên,Tương hột,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12508,Đậu hũ kho nước tương,Đậu hũ kho nước tương,Đậu hũ chiên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12509,Đậu hũ kho nước tương,Đậu hũ kho nước tương bông cải,Đậu hũ chiên,Bông cải trắng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12510,Đậu hũ xào giá mướp,Đậu hũ xào giá mướp,Đậu hũ chiên,Mướp,Giá,,,,,,,,,,,,,,,,,,,,,,,,,,,
12511,Chả lụa chay rim ớt chuông,Chả lụa chay rim ớt chuông,Chả lụa chay,Hành tây,Ớt chuông đỏ,,,,,,,,,,,,,,,,,,,,,,,,,,,
12512,Chuối xanh kho đậu,Chuối xanh kho đậu,Chuối xanh,Đậu hũ trắng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12513,Gỏi rau càng cua,Gỏi rau càng cua,Rau càng cua,Chả lụa chay,Đậu phộng sống,,,,,,,,,,,,,,,,,,,,,,,,,,,
12514,Hủ tiếu xào chay,Hủ tiếu xào chay,Hủ tiếu tươi,Đậu hũ chiên,Nấm bào ngư xám,,,,,,,,,,,,,,,,,,,,,,,,,,,
12515,Đậu hũ kho bông cải,Đậu hũ kho bông cải,Đậu hũ chiên,Bông cải trắng,Cà rốt,,,,,,,,,,,,,,,,,,,,,,,,,,,
12516,Khổ qua kho nấm,Khổ qua kho nấm,Khổ qua,Nấm đùi gà,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12517,Khổ qua kho nấm,Khổ qua kho,Khổ qua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12518,Khổ qua xào nấm,Khổ qua xào nấm,Khổ qua,Nấm đùi gà,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12519,Đậu hũ xào thập cẩm,Đậu hũ xào thập cẩm,Đậu hũ chiên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12520,Đậu hũ kho măng,Đậu hũ kho măng,Đậu hũ chiên,Măng tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12521,Đậu hũ xào giá hẹ,Đậu hũ xào giá hẹ,Đậu hũ chiên,Giá,Hẹ,,,,,,,,,,,,,,,,,,,,,,,,,,,
12522,Đậu hũ xào giá hẹ,Đậu hũ xào giá hẹ cà rốt,Đậu hũ chiên,Cà rốt,Giá,Hẹ,,,,,,,,,,,,,,,,,,,,,,,,,,
12523,Khổ qua xào chay,Khổ qua xào chay,Đậu hũ trắng,Cá cơm chay,Khổ qua,,,,,,,,,,,,,,,,,,,,,,,,,,,
12524,Mì căn xào sả ớt,Mì căn xào sả ớt,Mì căn (ruột chay non),Hành tây,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12525,Đậu hũ xào ngũ sắc,Đậu hũ xào ngũ sắc,Đậu hũ chiên,Đậu ve,Cà rốt,Giá,Hẹ,,,,,,,,,,,,,,,,,,,,,,,,,
12526,Chả cá chay rim,Chả cá chay rim,Chả cá chay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12527,Đậu hũ xào bông cải,Đậu hũ xào bông cải,Đậu hũ chiên,Bông cải trắng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12528,Chả lụa chay kho đậu hủ,Chả lụa chay kho đậu hủ,Chả lụa chay,Đậu hũ chiên,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12529,Dừa kho,Dừa kho,Cùi dừa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12530,Khổ qua dồn chay,Khổ qua dồn chay nhân đậu xanh,Khổ qua,Nấm mèo,Đậu xanh không vỏ,Đậu hũ trắng,,,,,,,,,,,,,,,,,,,,,,,,,,
12531,Khổ qua dồn chay,Khổ qua dồn chay nhân miến,Khổ qua,Nấm mèo,Miến lọn,Đậu hũ trắng,,,,,,,,,,,,,,,,,,,,,,,,,,
12532,Đậu hũ muối sả,Đậu hũ muối sả,Đậu hũ chiên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12533,Đậu hũ muối sả,Đậu hũ muối sả trứng,Đậu hũ chiên,Trứng gà 300 quả/cây,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12534,Đậu hũ om kim châm,Đậu hũ om kim châm,Đậu hũ non hộp,Nấm kim châm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12535,Đậu hũ kho cà tím,Đậu hũ kho cà tím,Cà tím,Chả lụa chay,Đậu hũ chiên,,,,,,,,,,,,,,,,,,,,,,,,,,,
12536,Đậu hũ chiên xù,Đậu hũ chiên xù,Đậu hũ trắng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12537,Gỏi mít,Gỏi mít,Mít non,Cà rốt,Chả lụa chay,Hành tây,,,,,,,,,,,,,,,,,,,,,,,,,,
12538,Đậu hũ non sốt cà,Đậu hũ non sốt cà,Đậu hũ non hộp,Cà chua,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12539,Gỏi rau má,Gỏi rau má sườn non chay,Rau má,Sườn non chay,Cà rốt,,,,,,,,,,,,,,,,,,,,,,,,,,,
12540,Gỏi rau má,Gỏi rau má chả lụa chay,Rau má,Chả lụa chay,Rau càng cua,,,,,,,,,,,,,,,,,,,,,,,,,,,
12541,Đậu hũ sốt nấm,Đậu hũ sốt nấm linh chi,Đậu hũ chiên,Nấm linh chi trắng đen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12542,Đậu hũ sốt nấm,Đậu hũ sốt nấm cà chua,Đậu hũ trắng,Nấm đùi gà,Cà chua,,,,,,,,,,,,,,,,,,,,,,,,,,,
12543,Đậu hũ sốt nấm,Đậu hũ sốt nấm đùi gà,Đậu hũ chiên,Nấm đùi gà,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12544,Đậu phộng rim tỏi ớt,Đậu phộng rim tỏi ớt,Đậu phộng sống,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12545,Canh súp,Canh súp,Cà rốt,Bắp cải trắng,Su su,,,,,,,,,,,,,,,,,,,,,,,,,,,
12546,Cơm chiên chay,Cơm chiên chay,Đậu hũ chiên,Chả giò xốp chay,Cà rốt,,,,,,,,,,,,,,,,,,,,,,,,,,,
12547,Cơm chiên chay,Cơm chiên chay thập cẩm,Chả lụa chay,Đậu ve,Chả giò xốp chay,,,,,,,,,,,,,,,,,,,,,,,,,,,
12548,Đậu hũ dồn chay,Đậu hũ dồn chay,Đậu hũ chiên mổ bụng,Đậu hũ trắng,Nấm mèo,,,,,,,,,,,,,,,,,,,,,,,,,,,
12549,Đậu hũ dồn chay,Đậu hũ dồn chay nhân miến đậu,Đậu hũ chiên mổ bụng,Đậu hũ trắng,Đậu xanh không vỏ,Miến lọn,Nấm mèo,,,,,,,,,,,,,,,,,,,,,,,,,
12550,Lagu chay,Lagu chay,Cà rốt,Khoai lang,Khoai tây,,,,,,,,,,,,,,,,,,,,,,,,,,,
12551,Canh rau ngót,Canh rau ngót,Rau ngót,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12552,Mì ý chay,Mì ý chay nấm,Mì 6 vắt,Đậu hũ chiên,Nấm đùi gà,,,,,,,,,,,,,,,,,,,,,,,,,,,
12553,Mì ý chay,Mì ý chay sốt cà,Mì 6 vắt,Đậu hũ chiên,Cà chua,,,,,,,,,,,,,,,,,,,,,,,,,,,
12554,Mì ý chay,Mì ý chay rau củ,Mì 6 vắt,Đậu hũ chiên,Cà rốt,,,,,,,,,,,,,,,,,,,,,,,,,,,
12555,Mì căn xào,Mì căn xào,Mì căn (ruột chay non),Dưa chua,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12556,Canh rong biển,Canh rong biển,Rong biển,Đậu hũ trắng,Nghêu,,,,,,,,,,,,,,,,,,,,,,,,,,,
12557,Đậu hũ sốt cà,Đậu hũ sốt cà,Đậu hũ chiên,Cà chua,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12558,Chả lụa chay rim tỏi ớt,Chả lụa chay rim tỏi ớt,Chả lụa chay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12559,Đùi gà chay rim,Đùi gà chay rim,Đùi gà chay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12560,Gỏi chay,Gỏi sườn non chay,Chả lụa chay,Sườn non chay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12561,Gỏi chay,Gỏi chay hành tây,Chả lụa chay,Sườn non chay,Hành tây,,,,,,,,,,,,,,,,,,,,,,,,,,,
12562,Gỏi chay,Gỏi chay thập cẩm,Sườn non chay,Hành tây,Dưa leo,Cà rốt,,,,,,,,,,,,,,,,,,,,,,,,,,
12563,Mì xào chay,Mì xào chay,Mì ký xanh 1kg/túi (10 túi/ thùng),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12564,Mì xào chay,Mì xào chay đậu hũ nấm,Mì ký xanh 1kg/túi (10 túi/ thùng),Đậu hũ chiên,Nấm đùi gà,,,,,,,,,,,,,,,,,,,,,,,,,,,
12565,Mì xào chay,Mì xào chay đặc biệt,Mì ký xanh 1kg/túi (10 túi/ thùng),Đậu hũ chiên,Chả giò xốp tôm thịt,Nấm đùi gà,,,,,,,,,,,,,,,,,,,,,,,,,,
12566,Gỏi ngó sen,Gỏi ngó sen chay,Ngó sen,Dưa leo,Chả lụa chay,,,,,,,,,,,,,,,,,,,,,,,,,,,
12567,Gỏi ngó sen,Gỏi ngó sen thịt,Ngó sen,Thịt heo vai tươi,Hành tây,Cà rốt,Rau răm,,,,,,,,,,,,,,,,,,,,,,,,,
12568,Chả lụa chay rim thơm,Chả lụa chay rim thơm,Chả lụa chay,Thơm gọt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12569,Đậu hũ rim chả lụa,Đậu hũ rim chả lụa,Đậu hũ chiên,Chả lụa chay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12570,Hủ tiếu chay,Hủ tiếu chay,Hủ tiếu tươi,Đậu hũ chiên,Su su,Tàu hũ ki tươi,,,,,,,,,,,,,,,,,,,,,,,,,,
12571,Khoai môn kho chay,Khoai môn kho chay,Khoai môn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12572,Canh súp xương,Canh súp xương,Xương heo,Cà rốt,Khoai tây,,,,,,,,,,,,,,,,,,,,,,,,,,,
12573,Đậu hũ kho gừng,Đậu hũ kho gừng,Đậu hũ chiên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12574,Đậu hũ non sốt nấm,Đậu hũ non sốt nấm,Đậu hũ non hộp,Nấm linh chi trắng đen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12575,Ham chay rim,Ham chay rim,Ham chay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12576,Ham chay rim,Ham chay rim chả lụa,Ham chay,Chả lụa chay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12577,Đậu phộng rang muối,Đậu phộng rang muối,Đậu phộng sống,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12578,Khoai tây kho chay,Khoai tây kho chay,Khoai tây,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12579,Khoai tây kho chay,Khoai tây kho mắm chay,Khoai tây,Mắm thái chay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12580,Chả cá bọc trứng cút,Chả cá bọc trứng cút,Cá sống,Mọc,Trứng cút,,,,,,,,,,,,,,,,,,,,,,,,,,,
12581,Hủ tiếu bò kho,Hủ tiếu bò kho,Hủ tiếu tươi,Bò nạm,Cà rốt,,,,,,,,,,,,,,,,,,,,,,,,,,,
12582,Khô lưỡi trâu sốt chua ngọt,Khô lưỡi trâu sốt chua ngọt,Cá khô lưỡi trâu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12583,Miến măng gà,Miến măng gà,Miến vàng,Gà tam hoàng,File không da tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,
12584,Gà kho măng,Gà kho măng,Má gà tươi,Măng tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12585,Hủ tiếu mì xương hoành thánh,Hủ tiếu mì hoành thánh,Hủ tiếu tươi,Mì vàng,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,
12586,Hủ tiếu mì xương hoành thánh,Hủ tiếu mì xương,Hủ tiếu tươi,Mì vàng,Xương heo,,,,,,,,,,,,,,,,,,,,,,,,,,,
12587,Hủ tiếu mì xương hoành thánh,Hủ tiếu mì thịt,Hủ tiếu tươi,Mì vàng,Thịt heo nạc vai,,,,,,,,,,,,,,,,,,,,,,,,,,,
12588,Chè đậu xanh,Chè đậu xanh,Đậu xanh không vỏ,Dừa ép,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12589,Chè thưng,Chè thưng,Bột báng,Đậu xanh không vỏ,Bột khoai,Khoai lang,Dừa ép,,,,,,,,,,,,,,,,,,,,,,,,,
12590,Chè thưng,Chè thưng đậu phộng,Bột báng,Đậu xanh không vỏ,Đậu phộng sống,Khoai lang,Bột khoai,Dừa ép,,,,,,,,,,,,,,,,,,,,,,,,
12591,Hủ tiếu gà,Hủ tiếu gà,Hủ tiếu tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12592,Hủ tiếu xương,Hủ tiếu xương,Hủ tiếu tươi,Thịt heo vai tươi,Xương heo,,,,,,,,,,,,,,,,,,,,,,,,,,,
12593,Hủ tiếu xương,Hủ tiếu xương mọc,Hủ tiếu tươi,Xương heo,Mọc,,,,,,,,,,,,,,,,,,,,,,,,,,,
12594,Hủ tiếu xương,Hủ tiếu xương nguyên chất,Hủ tiếu tươi,Xương heo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12595,Hủ tiếu xương,Hủ tiếu xương thịt,Hủ tiếu tươi,Xương heo,Thịt heo nạc vai,,,,,,,,,,,,,,,,,,,,,,,,,,,
12596,Hủ tiếu xương,Hủ tiếu xương đùi heo,Hủ tiếu tươi,Xương heo,Thịt đùi heo tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,
12597,Chả lụa rim thơm,Chả lụa rim thơm,Chả lụa,Thơm gọt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12598,Gà kho tiêu xanh,Gà kho tiêu xanh,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12599,Hủ tiếu mì thập cẩm hoành thánh,Hủ tiếu mì tôm thẻ size 60,Hủ tiếu tươi,Mì vàng,Tôm thẻ size 60 con,,,,,,,,,,,,,,,,,,,,,,,,,,,
12600,Hủ tiếu mì thập cẩm hoành thánh,Hủ tiếu mì thịt bằm,Hủ tiếu tươi,Mì vàng,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,
12601,Ép tắc,Ép tắc,Hành tây,Tắc,Trà đào cozy hòa tan 16 gói/hộp,Hồng trà túi 1kg,,,,,,,,,,,,,,,,,,,,,,,,,,
12602,Hủ tiếu mì khô xá xíu,Hủ tiếu mì khô xá xíu,Hủ tiếu tươi,Mì vàng,Thịt heo nạc vai,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,
12603,Chả chiên rim mắm,Chả chiên rim mắm,Chả chiên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12604,Chả chiên rim mắm,Chả lụa rim mắm,Chả lụa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12605,Gà kho tiêu,Gà kho tiêu,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12606,Chả cá rim,Chả cá rim,Chả cá chiên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12607,Chả cá rim,Cá rim,Cá sống,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12608,Giò bó luộc,Giò bó luộc,Bắp giò rút xương,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12609,Đậu hũ sốt cà chua,Đậu hũ sốt cà chua,Đậu hũ chiên,Cà chua,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12610,Đùi gà hấp rau răm,Đùi gà hấp rau răm,Đùi tỏi tươi size 6->6.5 cái,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12611,Đùi gà chiên,Đùi gà chiên,Đùi tỏi tươi size 6->6.5 cái,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12612,Heo quay kho dưa chua,Heo quay kho dưa chua,Heo quay,Dưa chua,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12613,Dưa chua xào,Dưa chua xào,Dưa chua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12614,Gà kho sa tế,Gà kho sa tế,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12615,Mì Quảng,Mì Quảng tôm thịt,Mì quảng,Thịt heo nạc vai,Tôm thẻ size 60 con,,,,,,,,,,,,,,,,,,,,,,,,,,,
12616,Mì Quảng,Mì Quảng trứng cút,Mì quảng,Thịt heo vai tươi,Trứng cút,,,,,,,,,,,,,,,,,,,,,,,,,,,
12617,Mì Quảng,Mì Quảng tôm thịt đặc biệt,Mì quảng,Thịt heo nạc vai,Tôm thẻ size 50 con,,,,,,,,,,,,,,,,,,,,,,,,,,,
12618,Mì Quảng,Mì Quảng tôm,Mì quảng,Thịt heo vai tươi,Tôm thẻ size 100 con,,,,,,,,,,,,,,,,,,,,,,,,,,,
12619,Đậu bắp luộc,Đậu bắp luộc,Đậu bắp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12620,Heo quay rim,Heo quay rim,Heo quay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12621,Gà kho kim chi,Gà kho kim chi,Má gà tươi,Kim chi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12622,Đậu hũ kho nấm,Đậu hũ kho nấm trứng,Đậu hũ chiên,Trứng gà 300 quả/cây,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12623,Đậu hũ kho nấm,Đậu hũ kho nấm,Đậu hũ chiên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12624,Gà hấp rau răm,Gà hấp rau răm,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12625,Gà hấp rau răm,Gà hấp rau răm đặc biệt,Đùi góc tư tươi,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12626,Chè bắp khoai dẻo,Chè bắp khoai dẻo,Bắp bào,Khoai môn,Gạo nếp,Lá dứa,Dừa ép,,,,,,,,,,,,,,,,,,,,,,,,,
12627,Chè bắp khoai dẻo,Chè bắp khoai dẻo lá dứa,Bắp bào,Gạo nếp,Khoai môn,Lá dứa,Dừa ép,,,,,,,,,,,,,,,,,,,,,,,,,
12628,Chè bà ba,Chè bà ba,Khoai lang,Đậu xanh không vỏ,Bột khoai,Bột báng,Dừa ép,,,,,,,,,,,,,,,,,,,,,,,,,
12629,Chè bà ba,Chè bà ba đậu phộng,Khoai lang,Đậu xanh không vỏ,Đậu phộng sống,Bột báng,Bột khoai,Dừa ép,,,,,,,,,,,,,,,,,,,,,,,,
12630,Hải sản chiên xù,Hải sản chiên xù,Mực lá tươi,Tôm thẻ size 100 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12631,Hải sản chiên xù,Hải sản chiên xù đặc biệt,Mực lá tươi,Tôm thẻ size 80 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12632,Chả cá nha trang rim tỏi ớt,Chả cá Nha Trang rim tỏi ớt,Chả cá nha trang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12633,Gà nướng,Gà nướng,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12634,Gà nấu lagu,Gà nấu lagu,Đùi góc tư tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12635,Dưa hấu,Dưa hấu,Dưa hấu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12636,Giò bó áp chảo,Giò bó áp chảo,Bắp giò rút xương,Thịt heo vai tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12637,Đậu hũ kho nấm bông cải,Đậu hũ kho nấm bông cải,Đậu hũ chiên,Nấm đùi gà,Bông cải trắng,,,,,,,,,,,,,,,,,,,,,,,,,,,
12638,Đậu hũ kho nấm bông cải,Đậu hũ kho nấm rau củ,Đậu hũ chiên,Nấm đùi gà,Cà rốt,Bông cải trắng,,,,,,,,,,,,,,,,,,,,,,,,,,
