ID,Tên món ăn menu,Tên món ăn đề xuất,Nguyên vật liệu chính 1,Nguyên vật liệu phụ 1,Nguyên vật liệu phụ 2,Nguyên vật liệu phụ 3,Nguyên vật liệu phụ 4,Nguyên vật liệu phụ 5,Nguyên vật liệu phụ 6,Nguyên vật liệu phụ 7,Nguyên vật liệu phụ 8,Ghi chú,Is Test,Parent items,Ghi chú (1),Is Test (1),Parent items (1),Parent items (1) (1),Parent items (1) (1) (1),Parent items (1) (1) (1) (1),Trường 7,Trường 8,Trường 9,Trường 10,Trường 11,Trường 12,Trường 13,Trường 14,Trường 15,Trường 16,Trường 17,Trường 18
12680,Hủ tiếu hoành thánh,Hủ tiếu hoành đùi heo tươi,Hủ tiếu tươi,Lá gói hoành thánh,Thịt đùi heo tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,
12681,Hủ tiếu hoành thánh,Hủ tiếu hoành thánh tôm,Hủ tiếu tươi,Lá gói hoành thánh,Thịt xay,Tôm thẻ size 50 con,,,,,,,,,,,,,,,,,,,,,,,,,,
12682,Hủ tiếu hoành thánh,Hủ tiếu hoành thánh nạc vai heo,Hủ tiếu tươi,Lá gói hoành thánh,Thịt heo nạc vai,,,,,,,,,,,,,,,,,,,,,,,,,,,
12683,File cá chiên sả,File cá chiên sả,Cá ba sa không đầu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12684,Khô cá chỉ vàng rim tỏi ớt,Khô cá chỉ vàng rim tỏi ớt,Khô cá chỉ vàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12685,Ếch xào lăn,Ếch xào lăn,Ếch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12686,Chả trứng hấp,Chả trứng hấp,Trứng gà 300 quả/cây,Thịt xay,Nấm mèo,,,,,,,,,,,,,,,,,,,,,,,,,,,
12687,Đậu hũ dồn thịt,Đậu hũ dồn thịt,Đậu hũ chiên mổ bụng,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12688,Đậu hũ dồn thịt,Đậu hũ dồn thịt chiên,Đậu hũ chiên,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12689,Cơm chiên opla 2 trứng,Cơm chiên trứng lạp xưởng,Trứng gà 300 quả/cây,Đậu ve,Chả lụa,Lạp xưởng tươi,,,,,,,,,,,,,,,,,,,,,,,,,,
12690,Cơm chiên opla 2 trứng,Cơm chiên cá khô,Trứng gà 300 quả/cây,Cá khô đù,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12691,Dưa leo,Dưa leo,Dưa leo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12692,Chả lụa rim ớt chuông,Chả lụa rim ớt chuông,Chả lụa,Hành tây,Ớt chuông đỏ,,,,,,,,,,,,,,,,,,,,,,,,,,,
12693,Gà nấu tiêu xanh,Gà nấu tiêu xanh,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12694,Gỏi đu đủ,Gỏi đu đủ,Đu đủ xanh gọt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12695,Mì xào bò,Mì xào bò,Mì ký xanh 1kg/túi (10 túi/ thùng),Bò tái,Hành tây,Giá,,,,,,,,,,,,,,,,,,,,,,,,,,
12696,Gà chiên nước mắm,Gà chiên nước mắm,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12697,Gà sốt tiêu xanh,Gà sốt tiêu xanh,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12698,Mì cay hải sản,Mì cay hải sản,Mì hàn quốc,Cá viên 1000gr/gói,Thanh cua,,,,,,,,,,,,,,,,,,,,,,,,,,,
12699,Mì cay hải sản,Mì cay bò hải sản,Mì hàn quốc,Bò tái,Tôm thẻ size 50 con,,,,,,,,,,,,,,,,,,,,,,,,,,,
12700,Mì cay hải sản,Mì cay thập cẩm,Mì hàn quốc,Ba chỉ bò mỹ cuộn,Thanh cua,Cá viên 1000gr/gói,,,,,,,,,,,,,,,,,,,,,,,,,,
12701,Cơm chiên đùi gà,Cơm chiên đùi gà,Đùi tỏi tươi size 6->6.5 cái,Bắp cải tím,Hành tây,Xà lách caron,,,,,,,,,,,,,,,,,,,,,,,,,,
12702,Hủ tiếu xá xíu hoành thánh,Hủ tiếu xá xíu nạc vai,Hủ tiếu tươi,Thịt heo nạc vai,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,
12703,Hủ tiếu xá xíu hoành thánh,Hủ tiếu xá xíu thịt xay,Hủ tiếu tươi,Lá gói hoành thánh,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,
12704,Mắm chưng,Mắm chưng,Mắm linh xay,Thịt xay,Trứng gà 300 quả/cây,,,,,,,,,,,,,,,,,,,,,,,,,,,
12705,Chả cá sốt cà chua,Chả cá sốt cà chua,Chả cá chiên,Cà chua,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12706,Chả cá sốt cà chua,Cá sốt cà chua,Cá sống,Cà chua,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12707,Chả giò chiên,Chả giò chiên,Chả giò xốp tôm thịt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12708,Chả giò chiên,Chả giò chay,Chả giò xốp chay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12709,Gà sốt bơ tỏi,Gà sốt bơ tỏi,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12710,Gỏi gà bắp cải,Gỏi gà bắp cải,File không da tươi,Bắp cải trắng,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12711,Đùi gà rang muối,Đùi gà rang muối,Đùi tỏi tươi size 6->6.5 cái,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12712,Cơm chiên cánh gà,Cơm chiên cánh gà,Cánh gà tươi size 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12713,Gỏi bò chua cay,Gỏi bò chua cay,Bò tái,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12714,Chả thịt,Chả thịt,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12715,Mì ý sốt bò bằm,Mì ý sốt bò bằm,Mì 6 vắt,Bò xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12716,Mì ý sốt bò bằm,Mì ý bò bằm cà chua,Mì 6 vắt,Bò xay,Cà chua,Hành tây,Trứng gà 300 quả/cây,,,,,,,,,,,,,,,,,,,,,,,,,
12717,Khổ qua xào trứng,Khổ qua xào trứng,Khổ qua,Trứng gà 300 quả/cây,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12718,Khổ qua xào trứng,Khổ qua xào trứng đậu hũ,Khổ qua,Đậu hũ trắng,Trứng gà 300 quả/cây,,,,,,,,,,,,,,,,,,,,,,,,,,,
12719,Khổ qua xào trứng,Khổ qua xào đậu phộng,Khổ qua,Đậu phộng sống,Đậu hũ trắng,,,,,,,,,,,,,,,,,,,,,,,,,,,
